venue_id,name,address,city,state,country,capacity,contact_name,contact_email,contact_phone,notes
V001,Sydney Opera House,Bennelong Point,Sydney,NSW,Australia,2679,John Smith,john.smith@sydneyoperahouse.com,+61 2 9250 7111,"Main concert hall, requires special approval for lasers"
V002,Rod Laver Arena,Olympic Boulevard,Melbourne,VIC,Australia,14820,Jane Doe,jane.doe@rodlaverarena.com,+61 3 9286 1600,"Large sport and entertainment venue, good for arena shows"
V003,Brisbane Convention Centre,Merivale St & Glenelg Street,Brisbane,QLD,Australia,4000,Robert Johnson,robert.johnson@bcec.com,+61 7 3308 3000,"Multiple halls available, Hall 1 is largest"
V004,Perth Arena,700 Wellington St,Perth,WA,Australia,15000,Emily Wilson,emily.wilson@pertharena.com,+61 8 6365 0700,"Modern venue with retractable roof, good for larger shows"
V005,Adelaide Entertainment Centre,Port Rd,Adelaide,SA,Australia,12000,Michael Brown,michael.brown@adelaideec.com,+61 8 8208 2222,"Theater and arena configurations available"
V006,The Tivoli,52 Costin St,Brisbane,QLD,Australia,1500,Sarah Johnson,sarah.johnson@thetivoli.com.au,+61 7 3852 1711,"Historic theater, limited ceiling height"
V007,Enmore Theatre,118-132 Enmore Rd,Sydney,NSW,Australia,2500,David Lee,david.lee@enmoretheatre.com.au,+61 2 9550 3666,"Art deco theater, good for medium-sized shows"
V008,Fortitude Music Hall,312 Brunswick St,Brisbane,QLD,Australia,3000,Jennifer Smith,jennifer.smith@fortitudemusichall.com,+61 7 3852 5074,"Newest venue in Brisbane, modern facilities"
V009,Spark Arena,42-80 Mahuhu Crescent,Auckland,North Island,New Zealand,12000,James Wilson,james.wilson@sparkarena.co.nz,+64 9 358 1250,"Auckland's premier large-scale venue"
V010,TSB Arena,Queens Wharf,Wellington,North Island,New Zealand,5655,Lisa Johnson,lisa.johnson@tsbarena.co.nz,+64 4 801 4231,"Waterfront location, good for medium-large shows"
V011,Christchurch Town Hall,86 Kilmore St,Christchurch,South Island,New Zealand,2250,Mark Thompson,mark.thompson@chtownhall.co.nz,+64 3 941 8999,"Recently renovated, excellent acoustics"
V012,Margaret Court Arena,Olympic Boulevard,Melbourne,VIC,Australia,7500,Andrew Davis,andrew.davis@mca.com.au,+61 3 9286 1600,"Medium-sized arena with retractable roof"
V013,The Palais Theatre,Lower Esplanade,St Kilda,VIC,Australia,2896,Michelle Lee,michelle.lee@palaistheatre.com.au,+61 3 9525 5599,"Historic theater, limited technical access"
V014,The Forum,154 Flinders St,Melbourne,VIC,Australia,2000,Christopher Johnson,chris.johnson@theforummelbourne.com.au,+61 3 9299 9990,"Gothic-style theater, ornate ceiling"
V015,Hordern Pavilion,1 Driver Ave,Moore Park,NSW,Australia,5500,Elizabeth Brown,elizabeth.brown@hordernpavilion.com.au,+61 2 9921 5333,"Large open floor space, good for dance events"
